,Longitude,Latitude,S_vel_5km,S_vel_10km,S_vel_15km,S_vel_20km,S_vel_25km,S_vel_30km,S_vel_35km,S_vel_40km
151,-79.0,9.5,3.17471,3.18679,3.20299,3.63676,4.1213,4.1213,4.16252,4.20415
152,-78.5,9.5,3.14329,3.15524,3.17128,3.62085,4.1213,4.1213,4.16252,4.20415
153,-78.0,9.5,3.0907,3.11217,3.12401,3.50913,4.0805,4.0805,4.1213,4.16252
154,-77.5,9.5,3.07548,3.12161,3.14244,3.15693,4.0805,4.0805,4.1213,4.16252
155,-77.0,9.5,2.91159,2.9318,2.94295,3.41844,4.0805,4.0805,4.1213,4.16252
156,-76.5,9.5,2.77027,2.78951,2.80011,3.34689,4.0805,4.0805,4.1213,4.16252
157,-76.0,9.5,2.74284,2.76189,2.77239,3.333,4.0805,4.0805,4.1213,4.16252
158,-75.5,9.5,2.74284,2.76189,2.77239,3.333,4.0805,4.0805,4.1213,4.16252
159,-75.0,9.5,2.72933,2.9687,3.19259,3.20786,3.64892,3.64892,4.0805,4.2487
160,-74.5,9.5,2.86855,3.12014,3.35545,3.37149,3.73149,3.73149,4.0805,4.1213
161,-74.0,9.5,3.06011,3.27713,3.51389,3.62772,3.76341,3.76341,4.04658,4.33153
162,-73.5,9.5,3.15282,3.32372,3.51389,3.70297,3.91622,3.91622,4.12338,4.33153
163,-73.0,9.5,3.06011,3.17632,3.41308,3.5912,3.81383,3.81383,3.96082,4.13692
164,-72.5,9.5,2.85421,3.02466,3.3127,3.46171,3.67443,3.67443,3.89585,3.95429
165,-72.0,9.5,2.74284,2.98461,3.27795,3.37678,3.54643,3.54643,3.80225,3.95429
166,-71.5,9.5,2.79798,3.02838,3.31074,3.39349,3.49246,3.49246,3.74828,3.95429
167,-71.0,9.5,2.92622,3.14926,3.37678,3.44466,3.67443,3.67443,3.89585,3.95429
168,-81.0,9.0,3.11487,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
169,-80.5,9.0,3.16109,3.28336,3.30004,3.68544,4.1213,4.1213,4.16252,4.20415
170,-80.0,9.0,3.26711,3.40281,3.42559,3.75142,4.1213,4.1213,4.16252,4.20415
171,-79.5,9.0,3.30804,3.48535,3.50306,3.78728,4.1213,4.1213,4.16252,4.20415
172,-79.0,9.0,3.27256,3.38284,3.40004,3.7356,4.1213,4.1213,4.16252,4.20415
173,-78.5,9.0,3.18751,3.33666,3.34935,3.62201,4.0805,4.0805,4.1213,4.16252
174,-78.0,9.0,3.13729,3.28944,3.44008,3.47365,3.78305,3.78305,4.14263,4.31083
175,-77.5,9.0,3.07777,3.20647,3.22452,3.28909,3.87697,3.87697,4.16252,4.20415
176,-77.0,9.0,2.89724,2.9318,2.95221,2.97238,3.89674,3.89674,3.979,4.0805
177,-76.5,9.0,2.60973,2.62784,2.71029,3.09831,3.76569,3.76569,4.0805,4.1213
178,-76.0,9.0,2.5583,2.57606,2.7701,3.16718,3.73149,3.73149,4.0805,4.1213
179,-75.5,9.0,2.75663,2.78951,2.80011,3.34689,4.0805,4.0805,4.1213,4.16252
180,-75.0,9.0,2.86855,3.07098,3.26109,3.28336,3.37324,3.37324,3.78709,4.20415
181,-74.5,9.0,3.02981,3.2793,3.53129,3.57322,3.63455,3.63455,3.84788,4.0805
182,-74.0,9.0,3.13776,3.35696,3.53129,3.74174,3.97506,3.97506,4.1006,4.24619
183,-73.5,9.0,3.12161,3.30804,3.51389,3.72226,3.94619,3.94619,3.96082,4.13692
184,-73.0,9.0,3.02981,3.1129,3.36489,3.62772,3.85071,3.85071,3.96082,4.13692
185,-72.5,9.0,2.91159,2.94649,3.24031,3.53129,3.67152,3.67152,3.85785,3.95429
186,-72.0,9.0,2.82595,2.91829,3.20348,3.42743,3.49194,3.49194,3.73065,3.95429
187,-71.5,9.0,2.88304,3.00672,3.19873,3.37728,3.49194,3.49194,3.56213,3.67061
188,-71.0,9.0,2.95547,3.16403,3.35989,3.39349,3.59917,3.59917,3.82059,3.95429
189,-81.0,8.5,3.11487,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
190,-80.5,8.5,3.16241,3.31619,3.33304,3.702,4.1213,4.1213,4.16252,4.20415
191,-80.0,8.5,3.30804,3.48535,3.50306,3.78728,4.1213,4.1213,4.16252,4.20415
192,-79.5,8.5,3.40373,3.46854,3.70436,3.97112,4.1213,4.1213,4.16252,4.28992
193,-79.0,8.5,3.34679,3.40396,3.67007,3.93116,4.20415,4.20415,4.24619,4.28865
194,-78.5,8.5,3.26469,3.42301,3.57322,3.74303,4.0805,4.0805,4.1213,4.2259
195,-78.0,8.5,3.21715,3.40545,3.52662,3.63396,3.9298,3.9298,4.20539,4.3533
196,-77.5,8.5,3.16867,3.27169,3.35989,3.43419,3.97506,3.97506,4.14306,4.33153
197,-77.0,8.5,2.89767,2.99093,3.04167,3.20616,3.91662,3.91662,4.14306,4.33153
198,-76.5,8.5,2.48306,2.5003,2.82316,3.19236,3.66511,3.66511,4.0805,4.1213
199,-76.0,8.5,2.33915,2.46595,2.84557,3.11352,3.60131,3.60131,4.0805,4.1213
200,-75.5,8.5,2.66217,2.86611,3.11468,3.1761,3.63289,3.63289,4.0805,4.1213
201,-75.0,8.5,3.02011,3.30529,3.42743,3.45084,3.49273,3.49273,3.77695,4.20664
202,-74.5,8.5,3.17001,3.50687,3.53129,3.68388,3.85816,3.85816,3.95971,4.0805
203,-74.0,8.5,3.12161,3.30804,3.6044,3.78639,3.87637,3.87637,3.97475,4.05702
