Latitude,Longitude,Elevation (m),Surface Temperature (°C),Apparent Geothermal Gradient (°C/Km),Distance To Nearest Volcano (m),Number of Volcanoes Nearby,Moho Depth (m),Fault,Strike-slip Fault,Reverse or Thrust Fault,Lineament,Right-lateral Fault,Normal Fault,Active Fault
0.302231,-76.918911,287.655,26.761725,26.78216157169409,84761.4404009249,5,37859.01664668898,36123.82638970813,53167.91836011087,34165.8686446998,94709.83773280808,88258.78677585963,356377.09567471925,35938.29478507852
5.830164,-74.321856,286.512,26.76744,25.40374243116612,73424.87956003919,1,40612.26481006529,36547.144838994536,39464.338798878336,872.6297834354555,56542.06018317837,29196.58212111943,124339.21567625528,15512.923316418906
8.073272,-73.606028,68.8848,27.855576,19.41525407748028,308230.58845400804,1,37311.00059109464,16402.409492811366,33442.849261576484,26218.91778606194,81494.25879518261,28939.65614437533,136186.52492878982,24029.422696650185
6.175794,-71.091822,137.4648,27.512676,22.40195313510232,431827.9848002008,1,36048.05750530145,79821.21804627214,122119.7437625859,74019.65306693508,245804.6708282122,90037.01663236017,136338.9529860264,74126.83489674036
4.8018083,-72.3174583,172.82,27.3359,26.71842995394917,307409.5231422216,1,37045.60391976388,60722.095259482405,90181.79056150196,41508.96182386333,131895.56759425643,71155.76204681497,118604.58388653936,40080.98591913696
6.795316,-73.792668,106.68,27.6666,20.29509744122784,181377.5465902711,1,43330.66023297584,28344.4125378682,38967.09472647884,932.5788870758552,124855.78399609456,37107.99601704163,28231.78115208388,25725.450163264057
6.839267,-73.791586,103.3272,27.683364,18.934880803849587,184924.2512913193,1,43297.33632969216,27961.220686706067,42005.583310374685,3210.3993946700007,126829.29162570492,41726.75235578497,26459.06638575241,27186.06739118836
6.815653,-73.770775,103.632,27.68184,19.6221063009226,184686.5608241505,1,43443.90449824176,25705.681596436883,38633.88989701592,3121.9894672355126,127937.89019357246,38619.11709509533,29506.21803832639,24366.138989633226
6.846886,-73.771642,137.16,27.5142,21.51457014166513,187072.1266749057,1,43392.53324994467,25780.469471325745,40634.57911217667,1311.4871094523176,129186.87386156688,42006.42900956582,28334.90562077592,25221.346570877493
6.838322,-73.779533,111.5568,27.642216,21.20995513933032,185782.4401277632,1,43365.51657839896,26628.06180388661,40827.7650212285,2482.865631420638,128010.4396336535,41284.26978636768,27760.359418113207,25863.501032209097
6.847286,-73.782772,121.92,27.5904,15.730991211709798,186242.1336349701,1,43335.07940680839,27011.44770553123,41674.095834070606,1893.0556978559616,128077.384140647,42332.87263884419,27136.39755915341,26431.09563696472
