Latitude,Longitude,Predicted Geothermal Gradient (°C/Km)
4.991514,-72.705911,21.613375
5.022789,-72.718692,21.896288
4.98335,-72.746356,22.679047
4.993617,-72.722608,21.705671
4.962961,-72.737406,22.96949
4.962328,-72.737558,22.96949
4.9822278,-72.7114556,23.7008
4.982542,-72.710617,23.398283
4.966012,-72.725439,23.848982
4.954861,-72.726192,23.969755
4.954685,-72.726328,22.73796
5.014167,-72.703144,21.168224
4.987511,-72.691397,23.474945
4.987976,-72.691389,22.347916
4.9942,-72.734,22.88171
5.002844,-72.732461,21.600908
5.002922,-72.732658,20.91908
6.325933,-74.357475,18.050371
4.5769,-74.834078,21.224344
0.607033,-76.702056,26.123148
0.611367,-76.696272,26.187283
8.270956,-73.682786,25.182823
6.979167,-73.7825,21.2696
4.890001,-71.715039,19.224306
6.948211,-73.757668,21.916004
6.949645,-73.759683,23.241533
6.95193,-73.757426,22.941277
6.952673,-73.752971,21.64758
3.926611,-74.868425,24.934706
4.654033,-71.262708,28.263449
4.735792,-71.15041,28.472582
4.6363687,-71.2721983,31.542952
4.647868,-71.266421,30.930626
4.713796,-71.173842,29.773668
4.716355,-71.173822,29.218676
4.72185,-71.166664,28.258768
3.179909,-75.101267,30.85366
4.556353,-71.562683,29.43459
6.9195421,-71.2607058,26.307777
5.840422,-70.182837,25.098904
4.7204298,-71.7258235,27.827282
7.689506,-73.539706,20.639872
4.3654556,-71.9062528,30.360113
7.6838,-73.579906,20.102669
0.753761,-76.162533,29.526703
0.757739,-75.994039,30.902227
0.674416,-76.356776,27.607058
0.541417,-76.478442,26.154432
0.541761,-76.465408,25.688429
2.916828,-75.376517,28.563532
6.129861,-74.475131,19.609465
6.15555,-74.485183,20.71434
6.131028,-74.499758,23.798697
6.080836,-74.463317,18.902115
6.126122,-74.500353,22.308592
6.143931,-74.491494,25.590902
6.134011,-74.497447,24.332788
6.147253,-74.487983,24.134035
6.127758,-74.497831,20.898752
4.657227,-72.140485,26.657087
4.118142,-75.219286,25.225164
5.6817313,-71.4089417,25.826307
0.725183,-76.908372,28.363401
6.109892,-74.445486,19.095737
4.526883,-71.5938,36.891262
4.5796191,-71.541833,30.98417
1.949431,-75.907272,22.388311
3.641294,-73.401784,25.766325
11.020831,-74.849533,20.1952
11.016767,-74.841214,22.433086
4.900313,-72.254915,25.221983
4.900313,-72.254942,25.221983
4.9128219,-72.2521636,25.422676
8.621203,-72.761819,23.526443
8.640456,-72.768589,23.374718
8.647797,-72.777269,23.667805
8.656889,-72.7609,23.239546
8.638244,-72.74125,23.696161
5.867342,-71.389442,24.728909
4.849383,-71.846194,29.581833
3.30875,-73.746697,27.268427
3.410425,-76.5256,24.156322
1.793078,-75.833285,24.036695
3.780406,-73.588894,24.400497
4.448822,-71.543394,32.982296
4.1405,-72.5482722,29.730669
6.8150222,-71.3981528,24.700006
5.5391,-71.1815611,31.315613
6.282883,-71.252842,25.785894
4.948561,-71.386317,22.481089
5.344428,-71.400156,31.590464
5.1787389,-71.1454472,29.820965
5.183379,-71.153179,30.288761
5.155781,-71.162989,29.672184
5.17261,-71.14907,29.649403
5.183435,-71.143274,30.56032
5.587067,-71.582986,24.11264
5.6315167,-71.5639333,25.349827
5.6385333,-71.5636583,25.493917
5.5968,-71.587206,25.110239
5.5966,-71.587297,24.649387
5.585522,-71.596575,24.544895
5.600683,-71.582483,25.020226
5.598189,-71.5841,24.861027
5.591836,-71.586581,24.454014
6.9568667,-71.3427083,25.604885
7.064761,-70.760883,27.217102
6.942472,-71.139658,27.425041
6.952842,-71.115122,27.45005
6.947244,-71.123447,26.480274
6.944567,-71.123383,26.933455
6.9451,-71.126033,26.8159
6.9568194,-71.1144889,26.643635
6.957281,-71.110156,26.376019
6.942453,-71.139678,26.567524
6.935478,-71.139506,27.019373
6.957733,-71.117656,26.830423
6.9328288,-71.13738,26.629663
6.9426858,-71.1236381,27.063997
6.937613,-71.130431,27.614721
6.933103,-71.141589,27.484644
6.957444,-71.108317,26.081215
6.942387,-71.130051,26.901329
6.942236,-71.129744,26.901329
6.934104,-71.13396,26.881351
6.940232,-71.121693,27.063997
6.9412877,-71.132863,27.046982
6.935635,-71.129052,27.098392
6.942522,-71.123483,27.219055
6.943583,-71.117383,26.610817
6.948178,-71.112611,26.846382
6.991556,-73.738222,20.698938
5.685433,-70.124253,25.977737
5.49235,-74.777531,22.635632
6.726486,-71.351314,24.518997
6.7252543,-71.3503918,24.530693
6.821408,-74.145028,19.731474
6.927046,-71.164968,26.586044
6.913336,-71.170539,25.88665
6.9197778,-71.1665858,25.770363
6.915859,-71.17434,26.273735
6.914414,-71.175264,25.905584
6.920653,-71.166414,25.78136
6.911772,-71.180717,25.946436
6.913508,-71.178636,26.409773
6.9066694,-71.1928028,25.989594
6.978994,-71.065611,26.460613
6.979753,-71.064175,26.22392
6.9812444,-71.0609194,25.907175
6.980522,-71.071867,26.792265
6.980522,-71.071461,26.818026
6.970036,-71.060531,25.886017
6.980244,-71.072772,26.855074
6.977986,-71.079461,26.935034
6.980497,-71.063831,25.993757
6.980519,-71.064369,26.308119
6.9803,-71.062756,26.168303
6.980828,-71.074981,27.72993
6.981986,-71.058953,25.799786
6.980828,-71.074075,27.01817
6.980731,-71.057511,25.771688
6.981,-71.0601,25.833864
6.9817,-71.0747,27.659744
6.978784,-71.06394,25.96475
6.9807,-71.0726,26.698044
6.981651,-71.075849,27.569386
6.9821,-71.0778,28.138662
6.978169,-71.079278,27.129408
6.976813,-71.083903,27.392021
6.981615,-71.075397,29.416693
6.981696,-71.074311,30.12827
6.979227,-71.075732,27.254087
6.982275,-71.077637,30.040369
6.978531,-71.062628,25.78261
6.981407,-71.074392,29.82387
6.980204,-71.077704,28.545553
6.976587,-71.083958,27.321648
6.979725,-71.064536,26.51178
6.978884,-71.072908,26.865034
6.981741,-71.058882,25.941912
6.980701,-71.07175,26.792265
6.977207,-71.08164,27.234806
6.980593,-71.073315,26.853203
6.979191,-71.076058,27.297283
6.980457,-71.057723,25.576672
6.981687,-71.058999,25.647259
6.979436,-71.075803,27.020832
6.979942,-71.069487,26.538914
6.980611,-71.077234,27.139366
6.980613,-71.068483,26.575218
6.979753,-71.063886,26.161112
6.97835,-71.06775,26.379356
6.978258,-71.077478,27.209667
7.363992,-73.925514,17.107615
7.3713,-73.921478,16.83319
7.352703,-73.934247,16.485771
7.366775,-73.925136,18.260798
7.355036,-73.946189,33.43802
7.362839,-73.928017,18.184849
7.358769,-73.930381,16.881464
7.437942,-73.940511,34.499077
7.339675,-73.940928,18.016628
7.367125,-73.922075,22.404377
6.496433,-74.336956,19.399672
6.491436,-74.293083,17.102531
6.121672,-74.574767,25.90686
6.572916,-71.758277,24.31414
4.9875,-71.673,29.860355
4.1229,-71.9804,32.5334
4.1228,-71.9804,32.420326
4.1227,-71.9805,33.70641
4.1228,-71.9805,32.773705
4.1226,-71.9805,33.094547
4.127,-71.9646,34.408688
4.127,-71.9644,33.43137
4.127,-71.9645,33.686935
4.127,-71.9647,33.157833
4.127,-71.9646,34.408688
4.1335,-71.9478,32.844696
4.1334,-71.9478,32.844696
4.1334,-71.9478,32.844696
4.1846,-72.056,34.414146
4.1809,-72.0608,34.730556
10.865278,-74.841111,18.428648
8.407878,-72.520518,35.56573
8.394302,-72.518341,35.47881
7.115507,-73.87062,18.470034
7.115666,-73.870639,18.195368
5.263195,-71.400875,31.970112
5.2582,-71.4014,31.970112
5.3215,-71.4017,31.591639
5.263,-71.4005,32.000725
0.623672,-76.999694,24.616383
0.634592,-76.985608,25.803593
0.597039,-77.017481,25.697699
6.7399,-71.3234,26.432539
6.7341,-71.3204,26.350515
6.7398,-71.3229,26.519083
6.7398,-71.3225,26.519083
6.7399,-71.3227,26.519083
6.7393,-71.3223,26.481413
6.739,-71.3221,26.410475
6.739727,-71.323445,26.359125
6.739876,-71.323645,26.338705
6.740124,-71.322928,26.519083
6.739393,-71.323319,26.260271
6.876747,-74.145253,19.322739
6.6519,-71.5237,25.213503
4.957,-71.8352,31.825668
4.9575,-71.8364,33.035595
4.9501,-71.8408,31.363634
3.147044,-75.150014,25.893597
5.579244,-71.753989,27.14894
5.5779,-71.7527,27.07546
5.576267,-71.751721,26.960302
7.072925,-73.911797,19.004381
7.048453,-73.910931,22.40391
7.058308,-73.913656,22.97856
7.05305,-73.906325,21.739204
7.038561,-73.917286,21.41547
7.039442,-73.924356,20.84997
7.043478,-73.925428,20.973963
7.037678,-73.923633,21.744406
7.069308,-73.900939,23.769672
7.034192,-73.921778,21.08454
7.028614,-73.919019,21.754234
7.049544,-73.9181,21.893064
7.053061,-73.906372,21.184834
7.030414,-73.915408,22.415878
7.024097,-73.919017,22.901203
7.034061,-73.926264,21.107302
7.033153,-73.923583,21.487661
7.023494,-73.925386,22.357315
7.021814,-73.927425,22.29648
7.020628,-73.935428,22.5838
7.020392,-73.926389,21.34233
7.028681,-73.923486,22.581099
7.022317,-73.931689,21.783068
7.024106,-73.928061,20.952799
7.026756,-73.931664,21.317392
7.027669,-73.925253,21.792776
7.023747,-73.929703,22.137926
7.025033,-73.926336,21.943132
7.018706,-73.930153,22.86881
7.017075,-73.933361,22.782698
7.020639,-73.935464,22.549734
7.018653,-73.920869,21.589466
7.062914,-73.904617,22.338818
7.066281,-73.910692,22.208778
7.059367,-73.907244,21.84508
7.039547,-73.919981,21.322521
7.04145,-73.925303,20.701174
7.078689,-73.900117,20.880518
7.054925,-73.911781,21.945131
7.065681,-73.908183,21.070074
7.051183,-73.910131,18.851992
7.049506,-73.9136,22.114868
7.056647,-73.917236,21.461763
7.052997,-73.91545,21.00344
7.029536,-73.926294,20.92254
7.068386,-73.898219,21.288069
7.047608,-73.917239,21.002403
7.058458,-73.913622,22.646425
7.022328,-73.931725,21.783068
7.063892,-73.911767,22.454775
7.054747,-73.920694,22.261875
7.065697,-73.899136,23.3263
7.051194,-73.919075,20.669516
7.045803,-73.911814,22.186472
7.017008,-73.933422,21.354305
7.062072,-73.915431,21.308641
7.031294,-73.92255,20.631525
7.022308,-73.922681,19.695555
7.015092,-73.928011,21.642992
7.027736,-73.929914,22.845203
7.071108,-73.906369,22.754807
7.016831,-73.924472,20.9353
7.018692,-73.920867,19.724728
7.012303,-73.920164,20.209238
7.024108,-73.919053,21.671288
7.078331,-73.900903,19.884642
7.012539,-73.929011,20.516666
7.020497,-73.917244,19.453592
7.074717,-73.899131,19.388248
7.029739,-73.928183,22.879885
7.065606,-73.917044,21.625969
7.067481,-73.913608,18.27548
7.017492,-73.918225,18.345535
7.049414,-73.918125,21.24141
7.061372,-73.908261,27.772633
7.021517,-73.938306,23.774824
7.059364,-73.911808,27.499304
7.049503,-73.918131,23.188482
7.061203,-73.908231,28.369396
7.07565,-73.910617,19.131302
7.055742,-73.919011,25.20521
7.060333,-73.906375,26.351376
7.047633,-73.926286,27.014727
7.055764,-73.919103,24.918486
7.053939,-73.913619,23.889261
7.018611,-73.938978,20.074131
7.062083,-73.910892,28.087307
7.085281,-73.905672,22.957289
7.022872,-73.941233,28.495457
7.075628,-73.906367,22.317068
7.0621,-73.910972,28.046045
7.065653,-73.912628,23.493578
7.077714,-73.897986,20.435999
7.060258,-73.919047,21.501999
7.039481,-73.924472,21.852001
7.078339,-73.909989,19.5053
7.065692,-73.912708,23.115023
7.060317,-73.900939,21.149595
7.028794,-73.928014,18.663548
7.017922,-73.936447,20.948507
7.069994,-73.908086,24.787563
7.068392,-73.902747,25.20338
