Latitude,Longitude,Elevation (m),Surface Temperature (°C),Apparent Geothermal Gradient (°C/Km),Moho Depth (m),Magnetic Anomaly (nT)
3.171603,-75.140242,154.5336,27.427332,26.56985797407436,45040.76816221356,-3.5156
3.172628,-75.133089,163.068,27.38466,28.952412151011167,45051.94301773694,-3.5156
3.176919,-75.135431,157.5816,27.412092,31.181013824216123,45058.853364019626,-2.123
3.169467,-75.128856,166.7256,27.366372,30.87804390619593,45049.58971293557,-3.5156
3.171661,-75.125758,162.7632,27.386184,30.36265487528514,45059.28077425001,-3.5156
3.164297,-75.141503,782.4216,24.287892,41.73422985100733,45023.54572548421,-3.5156
3.167789,-75.134522,523.9512,25.580244,31.1405671767291,45038.30990758369,-3.5156
3.169369,-75.130675,499.872,25.70064,30.37503756808982,45047.01149469332,-3.5156
3.169686,-75.136233,551.688,25.44156,29.79708340414588,45040.94766041847,-3.5156
3.166388,-75.133172,409.6512,26.151744,29.04544453971258,45036.36923526902,-3.5156
3.165531,-75.136706,549.8592,25.450704,31.523896414243666,45030.41565297926,-3.5156
3.163719,-75.135822,494.6904,25.726548,31.143125133743244,45027.14861225489,-3.5156
3.168153,-75.132094,501.7008,25.691496,35.50356713296392,45042.16706748153,-3.5156
3.174394,-75.128053,492.0,25.74,32.59402223218969,45062.91016709359,-3.5156
3.168644,-75.137914,524.0,25.58,32.47336741825955,45036.44561766305,-3.5156
3.159864,-75.147556,461.0,25.895,25.34315039680648,45013.28758686508,-3.5156
3.178786,-75.124008,518.0,25.61,32.93696184553608,45079.260922911824,-3.2814
5.760086,-74.690311,159.4104,27.402948,24.35257586153446,38281.67102628792,8.9676
3.602101,-74.882734,982.6752,23.286624,41.30751961464228,46372.0026225124,-17.2008
8.091122,-73.580497,85.03920000000001,27.774804,32.40735942821807,37422.85215392258,23.8637
8.083908,-73.581719,84.12480000000001,27.779376,20.558894335744977,37430.12872447061,23.8637
8.077933,-73.584653,86.56320000000001,27.767184,21.549970513619076,37423.36937534044,23.8637
8.074036,-73.58365,81.0768,27.794616,19.240260867603453,37439.35492383033,23.5712
8.074861,-73.587308,80.4672,27.797664,19.105414231644065,37412.71242875588,23.5712
8.069947,-73.586944,80.4672,27.797664,18.939507420595948,37426.723586079606,23.5712
8.0791,-73.588064,86.86800000000001,27.76566,18.44039242097518,37398.008930534335,23.8637
7.828981,-76.707569,14.0208,28.129896,14.369180628797135,32780.51334826088,-73.4522
4.076544,-73.37905,275.2344,26.823828,27.647839858068057,36647.94312986884,-131.9892
4.080986,-73.386289,279.8064,26.800968,28.636917546556468,36636.8822982855,-131.9892
4.073333,-73.387817,285.5976,26.772012,23.08144512199509,36600.45685682479,-130.3526
4.079911,-73.384831,278.892,26.80554,27.61790589832333,36638.36440760114,-131.9892
