,Latitude,Longitude,Elevation (m),Surface Temperature (°C),Apparent Geothermal Gradient (°C/Km),Moho Depth (m),Magnetic Anomaly (nT),Fault,Strike-slip Fault,Reverse or Thrust Fault,Lineament,Right-lateral Fault,Normal Fault,Active Fault,Curie Depth (Km),Vertical Gravity Gradient (E),Free Air Anomaly (mGal),Bouguer Anomaly (mGal),Nearest Basement,Nearest Volcano,Volcanic domain,Volcanic weight,Gradient Weight,sample_weight
3328,5.045519,-74.650814,625.0,25.075,32.18970959160852,42977.62460818163,19.8676,1626.0396180651578,48838.879938643775,4288.547459401949,35181.65319917515,21382.49356163938,144940.7063687491,7969.744381801309,32.0,-46.4375,-53.17502,-123.46241250829732,13970.287641881749,68020.18263420703,True,1,0.08656409915055902,0.08656409915055902
3329,2.080883,-75.933261,1134.4656,22.527672,26.366180905234337,45073.05695239986,-11.6822,8943.544792442868,92800.92347379358,5807.655255104522,60625.98237597757,16293.907333930576,178872.67374215333,273.65311214625126,24.0,-158.5625,-26.600006,-182.78324455989207,6717.773326083139,16643.934191691795,True,1,0.030196779781810738,0.030196779781810738
3330,2.983689,-75.263936,454.4568,25.927716,22.040966604350828,45086.82369554079,-5.049,6686.371118169284,31968.381238229864,13097.528725151176,6562.728428769656,23207.209143678647,167954.42568304364,12446.892483113128,32.0,-126.6875,-131.15,-180.86529757474068,0.0,85298.70025086145,False,8,0.025810397464672823,0.2064831797173826
3331,5.0321,-71.9795,169.0,27.355,24.40979896392108,37556.04046340695,36.9918,75466.26208518373,108303.88381783228,55743.85754927391,163367.56711565188,93504.01223350194,80290.22994754846,54569.372130162126,32.0,-8.34375,-51.200012,-70.21306669514658,85361.61567821652,337388.44354347617,False,8,0.025460030083559126,0.203680240668473
3332,5.021892,-71.97865,168.24960000000002,27.358752,25.74835419604892,37508.877056524114,36.0997,76422.74574647124,108795.98534829782,56728.16853036667,164000.51174312114,93861.11076007182,80086.38252236006,55529.07700242024,32.0,-8.34375,-51.200012,-70.21306669514658,85838.31238087062,337713.47930376563,False,8,0.030196779781810738,0.2415742382544859
3333,4.30676,-71.959154,180.13680000000002,27.299316,29.36929458098077,34102.16017677606,-41.8796,122133.50359682064,157395.06396723248,104133.4430844535,173745.27168280177,137990.43688520047,105791.99118786267,19674.722403087093,34.0,-1.3125,-28.425018,-46.27325658271363,136679.33823812578,357388.9410542117,False,8,0.07152542154553297,0.5722033723642638
3334,4.334664,-71.903394,181.9656,27.290172,34.461385296247855,34168.3341051476,-31.1619,128951.63165168108,159288.70944109288,107357.8769456688,180662.53950179336,140060.89121354744,99169.46317865884,18501.28938976324,34.0,5.34375,-22.850006,-43.79160774125847,138146.5219051136,363500.31669206236,False,8,0.21099997612500296,1.6879998090000237
3335,6.914019,-71.171625,144.78,27.4761,25.606419923167223,36882.24257321768,-44.3795,104626.6653027486,95144.13129601307,69309.73248685765,265661.59576506616,96187.30133085525,217011.7777511958,69729.99837130052,36.0,-4.28125,-34.17502,-52.63230123052882,117744.89766154301,442075.04526314134,False,8,0.030196779781810738,0.2415742382544859
3336,7.479667,-73.57665,78.0288,27.809856,18.97781159607012,39799.73799616807,22.7948,23519.185972393338,31572.728345940668,16654.182035585727,108569.5416868269,38588.55231383744,79485.57277492166,38432.67978550949,36.0,-67.90625,-138.42502,-146.3509067132258,1283.4590125588968,253761.90241948783,False,8,0.02,0.16
3337,6.884403,-73.550425,244.4496,26.977752,21.89863219912793,43327.7989803972,11.7875,5331.847599863453,28809.972578325727,8252.448893903189,129580.97705303326,47323.90898771505,51919.8049063838,3655.30257084314,36.0,-62.65625,-121.375,-135.6391666973683,10475.453194044714,207359.45219308048,False,8,0.025810397464672823,0.2064831797173826
3338,5.162636,-71.079858,125.2728,27.573636,29.015592880631694,35161.2495169986,-3.6934,137039.8015554889,180016.65136089825,119806.68607953838,251192.4481498553,162849.6041732325,30394.63452885034,20898.81504257533,30.0,-3.71875,-29.350006,-42.636294915630266,180361.80978123212,433538.0267104596,False,8,0.07152542154553297,0.5722033723642638
3339,5.089492,-71.151831,126.492,27.56754,27.459178729897868,35209.40907273518,-6.9553,139284.46450015384,180931.3775796872,118718.99086679886,245770.27745452904,165725.2943097429,19049.08068294321,18887.415344946745,30.0,-7.65625,-32.55002,-47.518362287902,173389.3243496567,426736.6124441374,False,8,0.04328205068507562,0.34625640548060493
3340,6.940776,-71.158883,144.78,27.4761,28.50545942677438,36931.78640178971,-36.9063,105723.03277842756,97024.28399779389,72018.66438808921,268335.88944264024,99085.70227256462,220040.28055079127,72323.08938799662,36.0,0.0625,-34.17502,-49.7763399639944,117943.62003458786,444347.0561357223,False,8,0.07152542154553297,0.5722033723642638
3341,2.242222,-78.520603,18.0,28.11,18.44898493874489,31175.068969995824,13.345,84973.93573086779,95005.01971123778,88793.73480024157,147352.38938594385,143146.6326782007,248717.9947487402,88323.99398945917,26.0,32.40625,6.875,19.277875372332872,83515.93304871792,156557.52391097933,False,8,0.04107055909803993,0.32856447278431944
3342,10.689419,-74.596614,2.4384,28.187808,27.99493812644081,30445.484821133075,-50.2368,46490.27198685911,47013.74190620336,46384.21474363137,188444.293248292,59689.016109360855,294120.0170670793,52661.97854829271,18.0,7.84375,-3.649994,-1.272799995556614,50024.30410970357,558932.3472808278,False,8,0.04328205068507562,0.34625640548060493
3343,8.34695,-73.7031,63.3984,27.883008,25.15191315503556,36356.42732264949,23.1438,14856.498064686832,32937.757809382274,10882.176053088944,59947.40025023767,23301.472481258257,162379.80882515878,10923.562847519786,30.0,-37.59375,-37.399994,-45.87279640496176,13245.815463132874,329112.08726510033,False,8,0.030196779781810738,0.2415742382544859
3344,3.835375,-74.874986,849.7824,23.951088,25.41956280332244,45268.860453963374,-46.9457,10319.31302352071,39780.19556452149,5906.522092833207,49257.68031222729,29216.51040549784,179113.84835556368,40477.908691319135,28.0,-13.3125,-83.92502,-175.0332097365739,27770.317832584893,70752.95679018092,True,1,0.030196779781810738,0.030196779781810738
3346,9.327979,-74.207824,35.6616,28.021692,24.046796854020663,37783.74907680247,-54.385,47892.51373014095,50072.66382997132,58126.65486757514,95987.73860593996,46999.43021985991,267894.4887800115,61974.76574901272,24.0,-4.90625,-35.125,-45.85510230375953,34100.075485019166,415269.58508061455,False,8,0.025460030083559126,0.203680240668473
