Basin,Well Name,BHT Depth (m),Lat,Lon,Surface Temperature (°C),Formation Temperature (°C),Apparent Geothermal Gradient (°C/Km),Distance To Nearest Volcano (m),Number of Volcanoes Nearby,Moho Depth (m)
Valle Medio del Magdalena,COCUYO-1,0.022334864565182952,7.401178,-73.857353,0.97896919127086,0.10992538279631903,39.308527844258684,0.27577317674303187,0.0,0.6422197465064845
Valle Superior del Magdalena,COELLO-1,0.41084534558318814,4.270889,-75.011286,0.849165596919127,0.350064196080419,21.187204106421852,0.016164480720481572,0.14285714285714285,0.8269144914714792
Caguan-Putumayo,COHEMBI-1,0.424415227836739,0.351861,-76.497253,0.9163658536585366,0.4696022042860522,26.02112938201088,0.11035922600079777,0.2857142857142857,0.3415016582106907
Valle Medio del Magdalena,COLIBRI-1,0.03495432705000265,5.88745,-74.667978,0.9475697047496792,0.13881864923914844,41.768047713426334,0.03950330416361405,0.0,0.48366791407872123
Valle Superior del Magdalena,COLOMBINA-1,0.4641744548286604,3.206081,-75.302183,0.857188703465982,0.4873241474739895,25.224101265528578,0.09575058910910933,0.0,0.8124552052415706
Sinú-San Jacinto,COLOMBOY-1,0.21189080732879245,8.985803,-75.494944,0.9470806161745826,0.16048342663292336,18.806105556156883,0.45916980892467313,0.0,0.2921739611623684
Valle Medio del Magdalena,COLORADO-12,0.23380326310787264,6.791708,-73.728475,0.9597969191270861,0.21104240804792873,21.292484431710747,0.2210248227656484,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-13,0.055916363060351665,6.770822,-73.732333,0.95793838254172,0.03575264361732711,17.66109295187038,0.21865060540212847,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-16,0.1361212313216115,6.764986,-73.807933,0.9641987163029524,0.14080346783899866,22.821794372192365,0.2104608113204298,0.0,0.6531907977881874
Valle Medio del Magdalena,COLORADO-18,0.13284756322931518,6.755635,-73.725718,0.9519715019255455,0.12857625904565823,21.942854657097868,0.2179031622239561,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-19,0.13147473467448123,6.770089,-73.792733,0.9586231065468549,0.12445941924917853,21.53462059660649,0.21247256802451467,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-22,0.1615185595860394,6.765753,-73.733344,0.9654703465982029,0.13291562191741502,19.69141943830061,0.21806879872971938,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-23,0.15322878715877292,6.772078,-73.728017,0.9538300385109113,0.12772940335691996,19.971167086987013,0.21921089403712501,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-24,0.13300596652410368,6.777567,-73.731153,0.9638074454428753,0.12468612248810057,21.346223237342066,0.21940912928986725,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-26,0.15354559374834997,6.770422,-73.7266,0.9554929396662388,0.1316913935547661,20.331692843962983,0.21919998800639579,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-27,0.15856169808332013,6.779339,-73.72945,0.9630249037227214,0.1520281720286606,21.872046929599115,0.21975075782567283,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-29,0.1509055388352078,6.78405,-73.728272,0.9527540436456996,0.11172082749152512,18.521845141536335,0.22031749512536306,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-3,0.23813295316542582,6.798064,-73.730514,0.9524605905006418,0.21175919770628843,21.12389649216422,0.2214245704554462,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-30,0.3651195944875653,6.790692,-73.735494,0.9515802310654684,0.28394297167036325,19.120882041797596,0.22021582979213944,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-31,0.2195469665769048,6.786692,-73.731481,0.9558842105263157,0.18130124025464156,19.93000261202952,0.22024190926849252,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-32,0.24594751570832674,6.803117,-73.726747,0.9611663671373556,0.21305743777673858,20.652990644435658,0.22228902839251358,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-33,0.21162680183747823,6.795381,-73.732064,0.9532431322207959,0.17609492335059684,20.053854018482962,0.22101119670462208,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-35,0.2142668567506204,6.790914,-73.732436,0.9609707317073171,0.1608704685745561,18.564698966713063,0.2205470779646468,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-36,0.23264163894609008,6.814486,-73.732031,0.9641987163029524,0.18345512643996986,19.208357370926578,0.22284803972628411,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-37,0.2865515602724537,6.819867,-73.734339,0.9657637997432604,0.2433528066403618,20.368979301914415,0.2231360192284742,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-38,0.1361212313216115,6.76765,-73.808989,0.9511889602053913,0.1290626264911247,21.683626957100294,0.21061555836158072,0.0,0.6531907977881874
Valle Medio del Magdalena,COLORADO-39,0.33423095200380165,6.809336,-73.736061,0.95793838254172,0.25922170904509106,19.03900459330218,0.2219467148037638,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-41,0.49205343471144203,6.793692,-73.746428,0.9667419768934531,0.42078947995881116,20.67110334941224,0.219398128493813,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-42,0.24763715085273774,6.808761,-73.729483,0.9643943517329912,0.20551162231151449,19.967549836203727,0.22255370490452087,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-43,0.2642694968055336,6.798428,-73.733119,0.9508955070603338,0.21612054710249995,19.868425474259293,0.2211958505977488,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-44,0.22905116426421673,6.792356,-73.730956,0.9570580231065469,0.18286262205895626,19.441671921302113,0.22083474022062893,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-45,0.24953799039020008,6.805897,-73.731014,0.9568623876765081,0.18626042545434612,18.50716996745731,0.2221243503925516,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-46,0.23570410264533503,6.800614,-73.728975,0.9564711168164313,0.2035296372796277,20.62175809410518,0.22182417577092406,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-47,0.2646919055916363,6.819533,-73.728147,0.9645899871630297,0.2240186602871077,20.292083452276856,0.2237248400523197,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-48,0.2849675273245683,6.835694,-73.717022,0.9470806161745826,0.2509128131944474,21.091666345152827,0.2264014543280209,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-49,0.2706056285970748,6.822819,-73.73315,0.961753273427471,0.26414822452283354,22.739526014305902,0.22354070257993894,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-50,0.22498547969797772,6.792858,-73.732717,0.9518736842105262,0.18610702601348417,19.996140195328564,0.22070407158199581,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-51,0.23353925761655842,6.795428,-73.729153,0.9589165596919127,0.20708514897475766,21.013580335071737,0.22131066387633097,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-52,0.23005438513121074,6.789558,-73.730111,0.9614598202824132,0.20259610381661963,20.87459243690509,0.22065390601756338,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-53,0.21484766883151168,6.788581,-73.73225,0.96057946084724,0.20792855691792667,22.370016710436534,0.2203435982464002,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-54,0.2616822429906542,6.831228,-73.736994,0.9708503209242618,0.1687232385278709,16.51577108782458,0.22397298595591564,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-55,0.21896615449601353,6.799378,-73.796794,0.9664485237483953,0.18120617116835114,19.86694396064505,0.2149319704693623,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-59,0.24631712339616663,6.809139,-73.732667,0.9533409499358152,0.19746452089609862,19.542055806267314,0.22226923442861288,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-60,0.27583293732509634,6.771853,-73.730978,0.9568623876765081,0.2102371745104003,18.791197025895936,0.21888659293480375,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-61,0.2668039495221501,6.825722,-73.725319,0.9483522464698331,0.2204596266064313,20.047239024590738,0.22460602719706,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-62,0.19261840646285444,6.806328,-73.734469,0.9511889602053913,0.18868245510414383,22.546629705050393,0.22181746394427107,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-64,0.10803104704577854,6.784953,-73.735628,0.9601881899871629,0.10540444804621985,21.699179323054473,0.21965497403334455,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-65,0.08701620993716669,6.8052,-73.735122,0.9540256739409498,0.07899439414656628,20.68134010004851,0.22164325540679142,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-66,0.09446116479222769,6.801814,-73.734936,0.9550038510911425,0.08393185194526415,20.487068790862487,0.22133684431488915,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-67,0.18242779449812557,6.803169,-73.733006,0.9503086007702182,0.18706135383214167,23.26107024323651,0.2216616007344901,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-68,0.10861185912666985,6.788178,-73.736944,0.9664485237483953,0.10548704106243673,21.558539989234145,0.21982887075341573,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-69,0.2503300068641428,6.792983,-73.734678,0.9521671373555842,0.20987422445740622,20.224239685732833,0.22051732844777092,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-70,0.11452558213210837,6.782394,-73.734633,0.9546125802310654,0.10241927241473398,20.70881300575865,0.2195126137210298,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-71,0.09335234172870799,6.798767,-73.735786,0.9544169448010269,0.08377840217144689,20.601075307952847,0.22095882047337922,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-72,0.14879349490469398,6.804039,-73.735481,0.950993324775353,0.13488156780736138,21.126673431397055,0.22149551653321312,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-74,0.20370663709805165,6.811667,-73.794344,0.9637096277278561,0.1904650812804327,21.720344419011155,0.21638526393048263,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-75,0.21194360842705529,6.817786,-73.731297,0.964785622593068,0.2074553848257163,22.510571926348447,0.22324002339033888,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-76,0.2402449970959396,6.788761,-73.727147,0.949526059050064,0.20428229059678998,20.449287538327788,0.2208794321976778,0.0,0.76041266348205
Valle Medio del Magdalena,COLORADO-77,0.21405565235756907,6.775114,-73.724542,0.957840564826701,0.2312810828470364,24.3629119007712,0.21985313181109764,0.0,0.76041266348205
Valle Medio del Magdalena,COMINO-1,0.05204604255768519,6.151167,-74.564906,0.9500151476251606,0.11744781368577334,32.78743181800012,0.07609103443145632,0.0,0.5403878470434242
Cesar-Rancheria,COMPAE-1,0.14277416970272983,9.717103,-73.676772,0.987381514762516,0.22007163351644743,30.38209045116326,0.5826424874471616,0.0,0.44454718444854513
Valle Medio del Magdalena,CONDE-1,0.38497280743439466,7.317367,-73.462556,0.9562754813863927,0.29111602434373435,18.66316983906944,0.29938935709473996,0.0,0.6549706905814257
Valle Medio del Magdalena,CONDE-10,0.4596863614763187,7.325378,-73.455042,0.9544169448010269,0.3653489382904977,19.461308400193747,0.3009182585251891,0.0,0.6549706905814257
Valle Medio del Magdalena,CONDE-11,0.45398384286393156,7.318594,-73.4579,0.9557863928112964,0.3645103416262682,19.62158783035902,0.2999477015976292,0.0,0.6549706905814257
Valle Medio del Magdalena,CONDE-12,0.4576799197423307,7.323353,-73.455906,0.9521671373555842,0.4081047175639874,21.475585316605184,0.3006275057433872,0.0,0.6549706905814257
Valle Medio del Magdalena,CONDE-15,0.4402027562173293,7.3174,-73.458975,0.9565689345314505,0.3546187158398119,19.669128044454496,0.29972397830954034,0.0,0.6549706905814257
Valle Medio del Magdalena,CONDE-2,0.2944189239136174,7.322689,-73.464494,0.9542213093709884,0.23685353006174525,19.610890016696356,0.29976536570029055,0.0,0.6549706905814257
Valle Medio del Magdalena,CONDE-3,0.4941126775436929,7.321136,-73.456725,0.9514824133504491,0.4171538795097525,20.51479583977966,0.30032096152111476,0.0,0.6549706905814257
Valle Medio del Magdalena,CONDE-5,0.3937905908442894,7.321014,-73.456492,0.9527540436456996,0.28863220937964346,18.213330559078173,0.30032981909246825,0.0,0.6549706905814257
Valle Medio del Magdalena,CONDE-6,0.45371983737261734,7.315292,-73.459133,0.9555907573812581,0.41534826768599514,21.945464187437466,0.2994900675875117,0.0,0.6549706905814257
Valle Medio del Magdalena,CONDE-7,0.48276044141718144,7.323967,-73.453936,0.9526562259306803,0.36081140782953863,18.485151000790516,0.3008736287556871,0.0,0.6549706905814257
Valle Medio del Magdalena,CONDE-8,0.3611067110195892,7.321908,-73.460897,0.9485478818998716,0.28719196844471434,19.48892160488353,0.3000157847507521,0.0,0.6549706905814257
Valle Medio del Magdalena,CONDE-9,0.4718306140767726,7.312617,-73.459481,0.9554929396662388,0.3123113109613513,16.697805354848228,0.2991797202573421,0.0,0.6549706905814257
ANP,CONDOR-1,0.08596018797190982,0.745839,-77.10085,0.6209563543003851,0.22365411844602057,46.61744255812284,0.030341700406072473,0.42857142857142855,0.9999999999999998
Caguan-Putumayo,CONGA-1,0.3337557421194361,0.652879,-76.936589,0.8266670089858794,0.3726366789628858,26.53644876945982,0.0459411553112846,0.42857142857142855,0.6194826336555297
Llanos Orientales,COPORO-1,0.8604466972913036,4.446083,-73.275469,0.7952675224646983,0.9527962845665077,26.93236116607903,0.25201808657656233,0.14285714285714285,0.49645205848028917
Valle Inferior del Magdalena,CORAL-1,0.21627329848460847,8.620572,-75.416078,0.9699699614890887,0.16902510574352964,19.023465732005537,0.40705577800352327,0.0,0.2921739611623684
Valle Inferior del Magdalena,CORAL-10,0.2829082844923174,8.579969,-75.367442,0.9812189987163029,0.25839275239131115,21.45755347445678,0.4004719184673989,0.0,0.44864019256320664
Valle Inferior del Magdalena,CORAL-11,0.3965362479539575,8.470139,-75.432744,0.9800451861360719,0.32038376500900106,19.573204996429148,0.38665785997050867,0.0,0.35549724805831984
Valle Inferior del Magdalena,CORAL-12,0.20375943819631448,8.594147,-75.425067,0.971730680359435,0.17481915882361648,20.317235576742164,0.4035964902185007,0.0,0.35549724805831984
Valle Inferior del Magdalena,CORAL-3,0.3636411637362057,8.514939,-75.410064,0.9804364569961488,0.3110936112872747,20.493289402364717,0.392338911285142,0.0,0.35549724805831984
Valle Inferior del Magdalena,CORAL-4,0.21347484027667774,8.67245,-75.376006,0.9765237483953786,0.14508691674347246,17.18080994418845,0.4134375675715937,0.0,0.4255029200343148
Valle Inferior del Magdalena,CORAL-5,0.1970008976186705,8.6741,-75.380392,0.9755455712451861,0.17373032116643133,20.670576611356573,0.41374865763671165,0.0,0.4255029200343148
Valle Inferior del Magdalena,CORAL-6,0.2674375627013042,8.587328,-75.36505,0.9801430038510912,0.21273882107136527,19.23295833919326,0.4014456456267782,0.0,0.44864019256320664
Valle Inferior del Magdalena,CORAL-7,0.325677174085221,8.619644,-75.339856,0.9783822849807444,0.29691916074213914,21.548116912561035,0.4054666556901778,0.0,0.4255029200343148
Valle Inferior del Magdalena,CORAL-9,0.46190400760335815,8.482081,-75.423186,0.982784082156611,0.4126358179348348,21.36270988523324,0.3880898217575288,0.0,0.35549724805831984
Valle Medio del Magdalena,CORAZON-1,0.35540419240720206,7.240389,-73.515831,0.9510911424903723,0.3840850090290758,25.114245390277397,0.286451483051774,0.0,0.6549706905814257
Valle Medio del Magdalena,CORAZON-4,0.34162310576059984,7.252997,-73.513269,0.9482544287548138,0.33873403924691065,23.336446289990427,0.2879979944178277,0.0,0.6549706905814257
Valle Medio del Magdalena,CORAZON-5,0.3248323565130155,7.228133,-73.520131,0.9542213093709884,0.31634495650604083,22.911595626404385,0.28478204668176926,0.0,0.6549706905814257
Valle Medio del Magdalena,CORAZON-7,0.24927398489888591,7.233244,-73.521497,0.9500151476251606,0.24492060459146076,22.870263369373333,0.28518395349883735,0.0,0.6549706905814257
Valle Medio del Magdalena,CORAZON-8,0.2866571624689793,7.221803,-73.520367,0.9535365853658535,0.19640725815916077,17.35954555152941,0.28410587281389127,0.0,0.6549706905814257
Llanos Orientales,CORCEL-1,0.5469137758065368,4.395774,-72.929529,0.9417984595635429,0.5841417214573918,25.3274220974965,0.3001503115778855,0.14285714285714285,0.4667600917389747
Llanos Orientales,CORCEL-2,0.5543059295633349,4.396326,-72.928607,0.9420919127086007,0.5849531071471412,25.065234936970903,0.30027858320685474,0.14285714285714285,0.4667600917389747
Llanos Orientales,CORCEL-3,0.6018797190981572,4.395437,-72.929872,0.9472762516046214,0.624679811315318,24.731913589966698,0.3001026508729589,0.14285714285714285,0.4667600917389747
Valle Medio del Magdalena,CORCOVADO-1,0.6182480595596389,6.227881,-74.277544,0.9447329910141207,0.37543965700408216,15.47301127832326,0.11165307343231039,0.0,0.4711858513507099
Sinú-San Jacinto,CORDOBA SOUTH-1,0.4149110301494271,8.83425,-76.414789,0.9486521181001284,0.42506497192745124,24.15703812886688,0.47568063210807265,0.0,0.13367364566152373
Sinú-San Jacinto,CORDOBA-1,0.22889276096942818,8.882772,-76.349056,0.9929571245186135,0.265022403753257,25.54634504988771,0.4782186333763344,0.0,0.13367364566152373
Valle Superior del Magdalena,CORINTO-1,0.2717144516605946,3.208962,-75.102249,0.8254172015404364,0.29564360100316817,25.85674877442023,0.1222510893726717,0.0,0.8124552052415706
Cordillera oriental,CORMICHOQUE-1,0.1818469824172343,5.580069,-73.236872,0.10614172015404355,0.17522864418925,30.711919520688895,0.226837587719014,0.0,0.6887910214776518
Llanos Orientales,CORMORAN-1,0.1968952954221448,4.249864,-72.021247,0.9434613607188702,0.2911217761362444,31.162870034800484,0.42725068810843503,0.14285714285714285,0.3343904478991042
Llanos Orientales,COROCITO-1,0.22377105443793233,5.780878,-72.004389,0.8653050064184851,0.21721640889447374,23.290952424353588,0.3984088847406318,0.0,0.48013138071953954
Llanos Orientales,COROCORA-1,0.2257246950736575,5.3728,-70.9836,0.9607750962772785,0.3427731124226408,32.20320625074796,0.5414891855901349,0.0,0.33714348878190714
Llanos Orientales,CORONADO-1,0.2961085590580284,3.772825,-73.733625,0.8496541720154043,0.29975666359609304,24.302386809230377,0.2063709309138619,0.14285714285714285,0.3623911101278583
Llanos Orientales,COROZAL-1,0.6541000052801098,5.952025,-71.941633,0.8825209242618741,0.4792392178566471,18.39649197443465,0.40879044610584975,0.0,0.4591890111334549
Valle Superior del Magdalena,CORRAL-1,0.1505887322456307,2.644361,-75.481331,0.8068035943517329,0.11949985357094589,21.0128081855277,0.07003935527609882,0.14285714285714285,0.9066498872365389
