Longitude,Latitude,Elevation (m),Distance To Nearest Volcano (m),Radius (m),Number of Volcanoes Nearby,Moho Depth (m),Magnetic Anomaly (nT)
-76.88694627870264,1.4104288885614125,2961.5686274509803,11184.939839647417,16184.939839647417,2,45983.799266206144,-25.0538
-72.10552635349075,6.551428086391864,3940.392156862745,331174.865346678,336174.865346678,1,41084.036738278926,-36.0675
-74.12334523096013,3.0135291797906474,552.156862745098,193368.70261538387,198368.70261538387,2,35282.89929143367,-5.9249
-76.2159953254996,5.0426950774676875,803.1372549019608,86292.85479878559,91292.85479878559,1,35109.5011462471,4.1161
-70.71848726546914,4.746926346889371,125.49019607843137,480286.6562162416,485286.6562162416,1,34728.76173729906,8.9592
-71.62149138206733,0.5756108423391639,175.68627450980392,495532.04570816515,500532.04570816515,1,30879.292376381793,-98.9089
-70.05439052196178,0.34597464363871033,175.68627450980392,670648.2180809955,675648.2180809955,1,34430.46972336667,7.1911
-76.73159006376916,1.9196833618268023,3162.3529411764707,17370.644930807757,22370.644930807757,1,44941.52019171082,-21.6003
-77.21555837881041,7.6842197441255315,0.0,336540.59961067606,341540.59961067606,2,30165.354472182684,22.4212
-73.92764437065365,10.157198007766386,301.1764705882353,514013.511524726,519013.511524726,1,33326.64327246579,21.1499
-73.62411731676886,1.1817053211385575,225.88235294117646,263039.8880235459,268039.8880235459,1,30875.205793843586,-80.864
-75.09248826808263,2.3350207985770224,1656.4705882352941,97351.28762547138,102351.28762547138,1,41635.10105286418,23.744
-68.69601590070546,2.249022561077764,125.49019607843137,758068.5060833812,763068.5060833812,2,34583.951572788035,96.0859
-74.42050400615756,0.322131477546308,200.7843137254902,216998.73733258192,221998.73733258192,1,32319.2285930845,-0.0344
-73.89542022902587,7.972702928777807,25.098039215686274,283858.88372036594,288858.88372036594,1,38533.31685747491,14.9778
-71.20214217167346,1.216374010855958,225.88235294117646,527792.0228262434,532792.0228262434,1,33193.030429901075,27.0302
-71.01753538630487,-1.076022506950307,175.68627450980392,625794.4529324324,630794.4529324324,2,32316.959411712076,-40.9852
-77.36711772374994,7.451460857243227,0.0,332969.657612329,337969.657612329,3,30236.14036458683,85.4677
-69.84219171712611,3.6320603957759916,125.49019607843137,597851.1499989085,602851.1499989085,2,35048.26799165312,-41.9699
-69.90035927403386,2.8392248275806455,200.7843137254902,610683.509038776,615683.509038776,2,35447.45058594433,5.7589
-70.12873847440636,0.8571774623407551,200.7843137254902,651449.2416208165,656449.2416208165,1,33792.95346787673,25.1249
-75.07684715333619,2.969769064381021,1054.1176470588234,105812.52414879837,110812.52414879837,1,44588.399937739974,-9.6113
-77.33649080478666,8.456290496277164,125.49019607843137,407675.85898049036,412675.85898049036,2,30812.324517547022,-39.2598
-71.31264266802538,0.33990512780152216,175.68627450980392,535846.7204082579,540846.7204082579,1,30779.329185943956,-73.3162
-75.22705157016064,1.1827443352802804,200.7843137254902,100014.51760940622,105014.51760940622,1,33937.96641449611,-1.2621
-75.33953195571385,6.479434503600967,2083.1372549019607,101423.72117001582,106423.72117001582,1,39050.15481182849,4.1182
-70.77758564241385,0.31416250761821907,276.078431372549,593727.0619796006,598727.0619796006,1,32588.63658201646,-52.6123
-69.23074986769926,3.648227289386204,100.3921568627451,664815.6160555744,669815.6160555744,2,35158.23014133909,-39.145
-74.51978304826726,-0.3496711785432627,175.68627450980392,250281.75697274425,255281.75697274425,1,31871.54322615694,-4.435
-74.21405914760508,4.997958787988825,3137.254901960784,108717.19102301315,113717.19102301315,2,47687.56535672387,18.4927
-74.80402177144208,4.6901535865634845,200.7843137254902,52533.37810870991,57533.37810870991,2,43144.008745434294,16.4312
-72.08361767983762,3.545146276279228,200.7843137254902,356023.0093001249,361023.0093001249,2,33784.184126549124,-36.3017
-70.95678483022503,-0.8447740203512071,125.49019607843137,622263.3809737276,627263.3809737276,2,32367.463318807586,3.2278
