OBJECTID,SimboloUC,N°CartaColores,Descripcion,Edad,UGIntegradas,Comentarios,GlobalID,Shape__Area,Shape__Length
24481,E3N1-Stm,,"Intercalaciones de arenitas localmente conglomeráticas, lodolitas y arcillolitas. Ocasionalmente, delgadas capas de carbón.",Oligoceno-Mioceno,Formación Caja,,c5f7b152-790c-4905-a7f5-407d20d6930f,0.0505174885275608,1.48320191489472
24482,N2-VCc,,"Tobas intercaladas con aglomerados, brechas, conglomerados, lodolitas y arenitas.",Plioceno,Formación Guacacayo,,82c6a987-2f38-4e07-9938-b10eccd0e79c,0.0647834551586186,4.86496359882547
24483,J-Pi,,Granodioritas que varían de sienogranitos a tonalitas y de cuarzomonzonitas a cuarzomonzodioritas,Jurásico,"Batolitos Central, Aracataca, Atánquez y Bolívar",,7e949a81-348c-40d1-896e-197a488fe219,0.331979580055815,10.5728069147498
24484,e3e4-Sm,,Arenitas líticas granodecrecientes de conglomeráticas a arenas de grano fino intercaladas con lodolitas y olitostromas de calizas micríticas,Thanetiano-Ypresiano,Formación San Cayetano,,70a098e0-74b4-42b4-86fe-7d32d077bce6,0.0291685868055538,2.21038846376629
24485,b1-Sctm,,"Conglomerados y brechas; arenitas de grano fino a conglomeráticas y calizas estromatolíticas, e intercalaciones de lodolitas negras.",Berriasiano,Formación Santa Rosa,,2c029382-b559-4ed7-8c31-ce0f9dc51266,0.0194193617352028,2.51092190318524
24486,J1J2-VCct,,"Arenitas, limolitas y calizas intercaladas con tobas, brechas, aglomerados y lavas riolíticas a andesíticas.",Jurásico Inferior-Jurásico Medio,Formación La Quinta,,d91411b3-7531-4342-a90f-1ee01b733be7,0.120319838036949,7.07914891117164
24487,E1-Sc,,Conglomerados intercalados con arenitas de grano medio a grueso y lodolitas carbonosas,Paleoceno,,,3e38a789-bdd4-480f-998e-f009859b636e,0.0142011021699204,2.52765624292188
24488,n6n7-St,,"Intercalaciones de conglomerados, arenitas líticas a sublíticas de grano medio a conglomeráticas, arenitas calcáreas y lodolitas.",Mesiniano-Zancleano,,,9e96ac86-4249-469d-88d7-aeecf9596070,0.0130391833120029,0.984498772757463
24489,OS1-Mbg,,"Filitas, esquistos, cuarcitas, pizarras, metaconglomerados, metalimolitas y mármoles.",Ordovícico-Llandovery,Formación Silgará,,17637824-98b8-4ad4-8471-1dd27741a5d9,0.121164657105624,5.52482821619017
24490,Q-vc,,Flujos volcanoclásticos constituidos por piroclastos y epiclastos de composición andesítica,Cuaternario,"Formación Popayán, Conjunto Superior",,1ebe9d32-849e-436e-8bd9-8fd92dbcf03b,0.114780844418618,7.57260728112714
24491,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,ef31f2f4-d98e-4965-9d41-2eba00a01d20,0.178087910270506,12.0225032828656
24492,e5e6-St,,"Arenitas líticas de grano fino a conglomeráticas, ocasionalmente glauconíticas, intercaladas con calizas y conglomerados.",Lutetiano-Bartoniano,Formación San Jacinto,,6d2e4eaf-b2ec-4515-8925-60f2d8e87249,0.0149517996188138,2.72264684890966
24493,Q2-l,,Depósitos paludales,Holoceno,,,a9fb16ef-e6d1-428c-bc06-4442b98dd90b,0.057087582929114,2.63945936144301
24494,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,1fe36148-3192-4323-86d9-10b34b79260f,0.032543323571133,3.57524568074492
24495,n3n4-Sm,,"Lodolitas, algunas calcáreas y nodulares, intercaladas con lentes de calizas y esporádicamente capas de arenitas de grano fino a muy fino.",Langhiano-Serravaliano,Formación Napipí,,af6b55c5-9c6a-4bd9-a660-9bd57ad60ca5,0.0270432769970625,1.5299349799071
