OBJECTID,SimboloUC,N°CartaColores,Descripcion,Edad,UGIntegradas,Comentarios,GlobalID,Shape__Area,Shape__Length,Basement
22417,Q-ca,,Abanicos aluviales y depósitos coluviales,Cuaternario,,,b5d3eb93-f0e0-4905-8723-bda1a20f24db,0.0004113047868941,0.0982475281445187,no
22418,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,1f7e2d88-c982-44e5-b0aa-6c897b72da35,0.0015156982392454,0.312494862586108,no
22419,n3n5-St,,"Lodolitas y shales calcáreos, con algunos niveles de arenitas",Langhiano-Tortoniano,,,79cecc99-afb7-4db1-ac54-9485cb8c979d,0.0114064511188303,0.697519958013424,no
22420,Q-t,,Terrazas aluviales,Cuaternario,,,c50b939c-29e5-49c5-84f0-f598a7e021b4,0.0011751712643217,0.148463329066389,no
22421,K2-Pu7,,"Harzburgitas, lerzolitas, dunitas y websteritas en interbandeamientos cumulíticos con gabronoritas. Las dunitas se encuentran serpentinizadas.",Cretácico Superior,Peridotitas de Planeta Rica,,45af6a1d-53b6-47b5-86aa-1ddbad745077,0.0006464343192078,0.12038069211274,no
22422,K2-Pu7,,"Harzburgitas, lerzolitas, dunitas y websteritas en interbandeamientos cumulíticos con gabronoritas. Las dunitas se encuentran serpentinizadas.",Cretácico Superior,Peridotitas de Planeta Rica,,572fc58f-b6e5-44dc-9f35-33b63b8b1186,0.0001758622557304,0.0575193077096619,no
22423,Q-ca,,Abanicos aluviales y depósitos coluviales,Cuaternario,,,ed7f6cf7-92e3-452b-94a6-75d6a4a9937a,0.0003057826887697,0.11242803677038,no
22424,e3e4-Sm,,Arenitas líticas granodecrecientes de conglomeráticas a arenas de grano fino intercaladas con lodolitas y olitostromas de calizas micríticas,Thanetiano-Ypresiano,Formación San Cayetano,,28494367-3672-43c7-bbd3-07d7ff5c60b0,0.0001573944685446,0.0584919722380908,no
22426,K2-Pu7,,"Harzburgitas, lerzolitas, dunitas y websteritas en interbandeamientos cumulíticos con gabronoritas. Las dunitas se encuentran serpentinizadas.",Cretácico Superior,Peridotitas de Planeta Rica,,2bf9346d-91dc-4097-acd1-39b4fe9ba526,0.0004376247771915,0.0908118500064827,no
22427,N2-Sc,,"Conglomerados, y arenitas líticas conglomeráticas intercaladas con arcillolitas, limolitas y turbas.",Plioceno,Formación Sincelejo,,f6656aca-e953-4d11-83eb-c0212c678831,0.0042774090377406,0.387635765171846,no
22428,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,2a17060d-e05b-4648-9f32-d5314dfe098c,0.000968422670553,0.409906411045748,no
22430,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,e8d1f590-8a80-4dcc-89c0-abcb9294fd46,0.0002280643978451,0.106022892544071,no
22431,n6n7-Sm,,"Intercalaciones de lodolitas, arenitas calcáreas y cuarzoarenitas de grano grueso a conglomeráticas.",Mesiniano-Zancleano,Formación El Cerrito,,0e3eb8bf-4699-4067-b84a-b2ddd7824c15,0.0106891510627634,0.768328252479965,no
22432,Q1-l,,"Arcillas, turbas, y arcillas arenosas con niveles delgados de gravas. Localmente, capas de depósitos de diatomeas.",Pleistoceno,,,3cbb590c-20ce-46fe-b962-7ad1e3ec6de9,0.015327875433286,0.842883527688246,no
22433,e8n2-St,,Arenitas ferruginosas de grano fino a conglomeráticas intercaladas con shales calcáreos y carbón,Rupeliano-Burdigaliano,,,5824d7d0-598e-43be-8c6a-66d9ccbcb988,0.0029033233323616,0.299982270939992,no
22434,N2-Sc,,"Conglomerados, y arenitas líticas conglomeráticas intercaladas con arcillolitas, limolitas y turbas.",Plioceno,,,e9ceafdb-4ade-433d-94ee-4c42f3748a26,0.0001182094634941,0.0423918614109822,no
22435,n6n7-Sm,,"Intercalaciones de lodolitas, arenitas calcáreas y cuarzoarenitas de grano grueso a conglomeráticas.",Mesiniano-Zancleano,Formación El Cerrito,,d713c1eb-5b7d-42ae-97f9-c2e422527829,0.007284606178473,0.508534898119546,no
22436,n3n5-St,,"Lodolitas y shales calcáreos, con algunos niveles de arenitas",Langhiano-Tortoniano,,,cf57694d-0b14-42b7-91c5-ded416132f45,0.0117882208983247,0.743503653823679,no
22438,k2k6-Sm7,,"Lodolitas; arenitas lodosas y arenitas líticas; cherts; calizas; tobas, y aglomerados. Localmente cataclasitas.",Turoniano-Maastrichtiano,Formación Cansona,,28f3ea9d-5cb6-4a8f-93f1-79f7d38f4303,0.0046341273617258,0.433056374396315,no
22439,n3n5-St,,"Lodolitas y shales calcáreos, con algunos niveles de arenitas",Langhiano-Tortoniano,,,b4e864ed-30fd-42bb-ab63-53295b16a2e4,0.0029867813843793,0.30010873217878,no
22440,n3n5-Sm,,"Arenitas líticas y feldespáticas de grano fino a grueso con glauconita, y shales calcáreos intercalados con lodolitas",Langhiano-Tortoniano,Formación El Carmen,,1a84fbc8-dbb5-40ab-8e7f-35e4dfb83fcc,0.0001212269397683,0.0445332122733692,no
22441,n3n5-Sm,,"Arenitas líticas y feldespáticas de grano fino a grueso con glauconita, y shales calcáreos intercalados con lodolitas",Langhiano-Tortoniano,Formación El Carmen,,c5d30412-b7d5-43b6-b219-144e9a49e907,0.0042259143285718,0.477998788291049,no
22442,N2-Sc,,"Conglomerados, y arenitas líticas conglomeráticas intercaladas con arcillolitas, limolitas y turbas.",Plioceno,,,09568c94-b187-44df-8045-46896d2f0acd,0.0169362903678802,1.46212519157742,no
22443,n3n5-St,,"Lodolitas y shales calcáreos, con algunos niveles de arenitas",Langhiano-Tortoniano,,,ba4be718-607d-4b87-a98a-35fe90535967,0.014588598353896,0.86675944637791,no
22445,K2-Pi,,"Granodioritas, tonalitas y cuarzodioritas.",Cretácico Superior,,,128c3cc7-588d-4ce0-8b24-a48dde420b22,0.0001884066095385,0.0629744137185012,yes
22446,N2-Sc,,"Conglomerados, y arenitas líticas conglomeráticas intercaladas con arcillolitas, limolitas y turbas.",Plioceno,,,8be07a8c-a3e3-4fd9-aa35-4da56af1fe83,0.0001297613557085,0.0514096384713505,no
22448,K1-Pu,,Peridotitas serpentinizadas intruidas por diques de rodingitas,Cretácico Inferior,Ultramafitas de Uré,,848215e9-7786-4c1f-8255-c183c31fe65a,0.0002400234149604,0.0899793146470157,yes
22449,K1-Pu,,Peridotitas serpentinizadas intruidas por diques de rodingitas,Cretácico Inferior,Ultramafitas de Uré,,a76dad95-a80d-4cad-b5dc-db042bd40807,0.0006809899771269,0.157340702811165,yes
22450,K1-Pu,,Peridotitas serpentinizadas intruidas por diques de rodingitas,Cretácico Inferior,,,9e2e03c0-6076-40b2-9c8b-c5929efed5fd,0.000134682095279,0.0543556237851083,yes
